city,state_id,state_name
Aaronsburg,PA,Pennsylvania
Abanda,AL,Alabama
Abbeville,AL,Alabama
Abbeville,GA,Georgia
Abbeville,LA,Louisiana
Abbeville,MS,Mississippi
Abbeville,SC,South Carolina
Abbotsford,WI,Wisconsin
Abbott,TX,Texas
Abbottstown,PA,Pennsylvania
Abbyville,KS,Kansas
Abercrombie,ND,North Dakota
Aberdeen,ID,Idaho
Aberdeen,IN,Indiana
Aberdeen,MD,Maryland
Aberdeen,MS,Mississippi
Aberdeen,NC,North Carolina
Aberdeen,OH,Ohio
Aberdeen,SD,South Dakota
Aberdeen,WA,Washington
Aberdeen Gardens,WA,Washington
Aberdeen Proving Ground,MD,Maryland
Abernathy,TX,Texas
Abeytas,NM,New Mexico
Abie,NE,Nebraska
Abilene,KS,Kansas
Abilene,TX,Texas
Abingdon,IL,Illinois
Abingdon,VA,Virginia
Abiquiu,NM,New Mexico
Abita Springs,LA,Louisiana
Abram,TX,Texas
Abrams,WI,Wisconsin
Absarokee,MT,Montana
Absecon,NJ,New Jersey
Acacia Villas,FL,Florida
Acalanes Ridge,CA,California
Acampo,CA,California
Accident,MD,Maryland
Accokeek,MD,Maryland
Accomac,VA,Virginia
Accord,NY,New York
Accoville,WV,West Virginia
Aceitunas,PR,Puerto Rico
Acequia,ID,Idaho
Achille,OK,Oklahoma
Ackerly,TX,Texas
Ackerman,MS,Mississippi
Ackermanville,PA,Pennsylvania
Ackley,IA,Iowa
Ackworth,IA,Iowa
Acme,WA,Washington
Acomita Lake,NM,New Mexico
Acres Green,CO,Colorado
Acton,CA,California
Acushnet Center,MA,Massachusetts
Acworth,GA,Georgia
Ada,KS,Kansas
Ada,MN,Minnesota
Ada,OH,Ohio
Ada,OK,Oklahoma
Adair,IA,Iowa
Adair,IL,Illinois
Adair,OK,Oklahoma
Adair Village,OR,Oregon
Adairsville,GA,Georgia
Adairville,KY,Kentucky
Adak,AK,Alaska
Adams,MN,Minnesota
Adams,ND,North Dakota
Adams,NE,Nebraska
Adams,NY,New York
Adams,OR,Oregon
Adams,TN,Tennessee
Adams,WI,Wisconsin
Adams Center,NY,New York
Adamsburg,PA,Pennsylvania
Adamstown,MD,Maryland
Adamstown,PA,Pennsylvania
Adamsville,AL,Alabama
Adamsville,OH,Ohio
Adamsville,PA,Pennsylvania
Adamsville,TN,Tennessee
Addieville,IL,Illinois
Addington,OK,Oklahoma
Addis,LA,Louisiana
Addison,AL,Alabama
Addison,IL,Illinois
Addison,MI,Michigan
Addison,NY,New York
Addison,PA,Pennsylvania
Addison,TX,Texas
Addison,WV,West Virginia
Addy,WA,Washington
Addyston,OH,Ohio
Adel,GA,Georgia
Adel,IA,Iowa
Adelanto,CA,California
Adeline,IL,Illinois
Adelino,NM,New Mexico
Adell,WI,Wisconsin
Adelphi,MD,Maryland
Adelphi,OH,Ohio
Adena,OH,Ohio
Adin,CA,California
Adjuntas,PR,Puerto Rico
Admire,KS,Kansas
Adona,AR,Arkansas
Adrian,GA,Georgia
Adrian,MI,Michigan
Adrian,MN,Minnesota
Adrian,MO,Missouri
Adrian,OR,Oregon
Adrian,TX,Texas
Advance,IN,Indiana
Advance,MI,Michigan
Advance,MO,Missouri
Advance,NC,North Carolina
Adwolf,VA,Virginia
Aetna Estates,CO,Colorado
Affton,MO,Missouri
Afton,IA,Iowa
Afton,MN,Minnesota
Afton,NY,New York
Afton,OK,Oklahoma
Afton,WY,Wyoming
Agar,SD,South Dakota
Agawam Town,MA,Massachusetts
Agency,IA,Iowa
Agency,MO,Missouri
Agency Village,SD,South Dakota
Agenda,KS,Kansas
Ages,KY,Kentucky
Agoura Hills,CA,California
Agra,KS,Kansas
Agra,OK,Oklahoma
Agua Dulce,CA,California
Agua Dulce,TX,Texas
Agua Fria,NM,New Mexico
Aguada,PR,Puerto Rico
Aguadilla,PR,Puerto Rico
Aguanga,CA,California
Aguas Buenas,PR,Puerto Rico
Aguas Claras,PR,Puerto Rico
Aguila,AZ,Arizona
Aguilar,CO,Colorado
Aguilares,TX,Texas
Aguilita,PR,Puerto Rico
Ahmeek,MI,Michigan
Ahoskie,NC,North Carolina
Ahtanum,WA,Washington
Ahuimanu,HI,Hawaii
Ahwahnee,CA,California
Aibonito,PR,Puerto Rico
Aiea,HI,Hawaii
Aiken,SC,South Carolina
Ailey,GA,Georgia
Ainaloa,HI,Hawaii
Ainsworth,IA,Iowa
Ainsworth,NE,Nebraska
Air Force Academy,CO,Colorado
Airmont,NY,New York
Airport,CA,California
Airport Drive,MO,Missouri
Airport Heights,TX,Texas
Airport Road Addition,TX,Texas
Airway Heights,WA,Washington
Aitkin,MN,Minnesota
Ajo,AZ,Arizona
Ak Chin,AZ,Arizona
Akaska,SD,South Dakota
Ak-Chin Village,AZ,Arizona
Akeley,MN,Minnesota
Akhiok,AK,Alaska
Akiachak,AK,Alaska
Akiak,AK,Alaska
Akins,OK,Oklahoma
Akron,AL,Alabama
Akron,CO,Colorado
Akron,IA,Iowa
Akron,IN,Indiana
Akron,MI,Michigan
Akron,NY,New York
Akron,OH,Ohio
Akron,PA,Pennsylvania
Akutan,AK,Alaska
Alabaster,AL,Alabama
Alachua,FL,Florida
Alafaya,FL,Florida
Alakanuk,AK,Alaska
Alamance,NC,North Carolina
Alameda,CA,California
Alamillo,NM,New Mexico
Alamo,CA,California
Alamo,GA,Georgia
Alamo,IN,Indiana
Alamo,ND,North Dakota
Alamo,NM,New Mexico
Alamo,NV,Nevada
Alamo,TN,Tennessee
Alamo,TX,Texas
Alamo Heights,TX,Texas
Alamo Lake,AZ,Arizona
Alamogordo,NM,New Mexico
Alamosa,CO,Colorado
Alamosa East,CO,Colorado
Alanson,MI,Michigan
Alapaha,GA,Georgia
Alatna,AK,Alaska
Alba,MI,Michigan
Alba,MO,Missouri
Alba,PA,Pennsylvania
Alba,TX,Texas
Albany,CA,California
Albany,GA,Georgia
Albany,IL,Illinois
Albany,IN,Indiana
Albany,KY,Kentucky
Albany,LA,Louisiana
Albany,MN,Minnesota
Albany,MO,Missouri
Albany,NY,New York
Albany,OH,Ohio
Albany,OK,Oklahoma
Albany,OR,Oregon
Albany,TX,Texas
Albany,VT,Vermont
Albany,WI,Wisconsin
Albany,WY,Wyoming
Albee,SD,South Dakota
Albemarle,NC,North Carolina
Albers,IL,Illinois
Albert,KS,Kansas
Albert City,IA,Iowa
Albert Lea,MN,Minnesota
Alberta,MN,Minnesota
Alberta,VA,Virginia
Alberton,MT,Montana
Albertson,NY,New York
Albertville,AL,Alabama
Albertville,MN,Minnesota
Albia,IA,Iowa
Albin,WY,Wyoming
Albion,CA,California
Albion,IA,Iowa
Albion,ID,Idaho
Albion,IL,Illinois
Albion,IN,Indiana
Albion,MI,Michigan
Albion,NE,Nebraska
Albion,NY,New York
Albion,OK,Oklahoma
Albion,PA,Pennsylvania
Albion,WA,Washington
Albright,WV,West Virginia
Albrightsville,PA,Pennsylvania
Albuquerque,NM,New Mexico
Alburnett,IA,Iowa
Alburtis,PA,Pennsylvania
Alcalde,NM,New Mexico
Alcan Border,AK,Alaska
Alcester,SD,South Dakota
Alcoa,TN,Tennessee
Alcolu,SC,South Carolina
Alcorn State University,MS,Mississippi
Alcova,WY,Wyoming
Alda,NE,Nebraska
Aldan,PA,Pennsylvania
Alden,IA,Iowa
Alden,KS,Kansas
Alden,MI,Michigan
Alden,MN,Minnesota
Alden,NY,New York
Alder,MT,Montana
Alder,WA,Washington
Alderpoint,CA,California
Alderson,OK,Oklahoma
Alderson,WV,West Virginia
Alderton,WA,Washington
Alderwood Manor,WA,Washington
Aldine,TX,Texas
Aldora,GA,Georgia
Aldrich,MN,Minnesota
Aldrich,MO,Missouri
Aledo,IL,Illinois
Aledo,TX,Texas
Aleknagik,AK,Alaska
Aleneva,AK,Alaska
Alex,OK,Oklahoma
Alexander,AR,Arkansas
Alexander,IA,Iowa
Alexander,KS,Kansas
Alexander,ND,North Dakota
Alexander,NY,New York
Alexander City,AL,Alabama
Alexandria,AL,Alabama
Alexandria,IN,Indiana
Alexandria,KY,Kentucky
Alexandria,LA,Louisiana
Alexandria,MN,Minnesota
Alexandria,MO,Missouri
Alexandria,NE,Nebraska
Alexandria,OH,Ohio
Alexandria,PA,Pennsylvania
Alexandria,SD,South Dakota
Alexandria,TN,Tennessee
Alexandria,VA,Virginia
Alexandria Bay,NY,New York
Alexis,IL,Illinois
Alfarata,PA,Pennsylvania
Alford,FL,Florida
Alfordsville,IN,Indiana
Alfred,NY,New York
Alfred,TX,Texas
Alger,OH,Ohio
Alger,WA,Washington
Algodones,NM,New Mexico
Algoma,MS,Mississippi
Algoma,WI,Wisconsin
Algona,IA,Iowa
Algona,WA,Washington
Algonac,MI,Michigan
Algonquin,IL,Illinois
Algonquin,MD,Maryland
Algood,TN,Tennessee
Alhambra,CA,California
Alhambra,IL,Illinois
Alhambra Valley,CA,California
Ali Chuk,AZ,Arizona
Ali Chukson,AZ,Arizona
Ali Molina,AZ,Arizona
Alianza,PR,Puerto Rico
Alice,ND,North Dakota
Alice,TX,Texas
Alice Acres,TX,Texas
Aliceville,AL,Alabama
Alicia,AR,Arkansas
Aline,OK,Oklahoma
Aliquippa,PA,Pennsylvania
Aliso Viejo,CA,California
Allakaket,AK,Alaska
Allardt,TN,Tennessee
Allegan,MI,Michigan
Allegany,NY,New York
Alleghany,CA,California
Alleghenyville,PA,Pennsylvania
Alleman,IA,Iowa
Allen,KS,Kansas
Allen,KY,Kentucky
Allen,MD,Maryland
Allen,MI,Michigan
Allen,NE,Nebraska
Allen,OK,Oklahoma
Allen,SD,South Dakota
Allen,TX,Texas
Allen Park,MI,Michigan
Allendale,CA,California
Allendale,IL,Illinois
Allendale,MI,Michigan
Allendale,MO,Missouri
Allendale,NJ,New Jersey
Allendale,SC,South Carolina
Allenhurst,GA,Georgia
Allenhurst,NJ,New Jersey
Allenport,PA,Pennsylvania
Allenspark,CO,Colorado
Allensville,KY,Kentucky
Allensville,PA,Pennsylvania
Allensworth,CA,California
Allenton,WI,Wisconsin
Allentown,FL,Florida
Allentown,GA,Georgia
Allentown,NJ,New Jersey
Allentown,PA,Pennsylvania
Allenville,IL,Illinois
Allenville,MO,Missouri
Allenwood,NJ,New Jersey
Allenwood,PA,Pennsylvania
Allerton,IA,Iowa
Allerton,IL,Illinois
Allgood,AL,Alabama
Alliance,NC,North Carolina
Alliance,NE,Nebraska
Alliance,OH,Ohio
Alligator,MS,Mississippi
Allison,IA,Iowa
Allison,PA,Pennsylvania
Allison Park,PA,Pennsylvania
Allisonia,VA,Virginia
Allouez,WI,Wisconsin
Allport,AR,Arkansas
Allport,PA,Pennsylvania
Allyn,WA,Washington
Alma,AR,Arkansas
Alma,CO,Colorado
Alma,GA,Georgia
Alma,IL,Illinois
Alma,KS,Kansas
Alma,MI,Michigan
Alma,MO,Missouri
Alma,NE,Nebraska
Alma,TX,Texas
Alma,WI,Wisconsin
Alma Center,WI,Wisconsin
Almanor,CA,California
Almedia,PA,Pennsylvania
Almena,KS,Kansas
Almena,WI,Wisconsin
Almira,WA,Washington
Almond,NY,New York
Almond,WI,Wisconsin
Almont,MI,Michigan
Almont,ND,North Dakota
Almyra,AR,Arkansas
Aloha,OR,Oregon
Alondra Park,CA,California
Alorton,IL,Illinois
Alpaugh,CA,California
Alpena,AR,Arkansas
Alpena,MI,Michigan
Alpena,SD,South Dakota
Alpha,IL,Illinois
Alpha,MI,Michigan
Alpha,MN,Minnesota
Alpha,NJ,New Jersey
Alpharetta,GA,Georgia
Alpine,AZ,Arizona
Alpine,CA,California
Alpine,CO,Colorado
Alpine,NJ,New Jersey
Alpine,OR,Oregon
Alpine,TX,Texas
Alpine,UT,Utah
Alpine,WY,Wyoming
Alpine Northeast,WY,Wyoming
Alpine Northwest,WY,Wyoming
Alpine Village,CA,California
Alsace Manor,PA,Pennsylvania
Alsea,OR,Oregon
Alsen,ND,North Dakota
Alsey,IL,Illinois
Alsip,IL,Illinois
Alston,GA,Georgia
Alta,CA,California
Alta,IA,Iowa
Alta,UT,Utah
Alta,WY,Wyoming
Alta Sierra,CA,California
Alta Vista,IA,Iowa
Alta Vista,KS,Kansas
Altadena,CA,California
Altamahaw,NC,North Carolina
Altamont,IL,Illinois
Altamont,KS,Kansas
Altamont,MO,Missouri
Altamont,NY,New York
Altamont,OR,Oregon
Altamont,PA,Pennsylvania
Altamont,SD,South Dakota
Altamont,TN,Tennessee
Altamont,UT,Utah
Altamonte Springs,FL,Florida
Altavista,VA,Virginia
Altenburg,MO,Missouri
Altha,FL,Florida
Altheimer,AR,Arkansas
Altmar,NY,New York
Alto,CA,California
Alto,GA,Georgia
Alto,TX,Texas
Alto Bonito Heights,TX,Texas
Alto Pass,IL,Illinois
Alton,IA,Iowa
Alton,IL,Illinois
Alton,IN,Indiana
Alton,KS,Kansas
Alton,MO,Missouri
Alton,TX,Texas
Alton,UT,Utah
Altona,CO,Colorado
Altona,IL,Illinois
Altona,IN,Indiana
Altoona,AL,Alabama
Altoona,FL,Florida
Altoona,IA,Iowa
Altoona,KS,Kansas
Altoona,PA,Pennsylvania
Altoona,WA,Washington
Altoona,WI,Wisconsin
Altura,MN,Minnesota
Alturas,CA,California
Alturas,FL,Florida
Altus,AR,Arkansas
Altus,OK,Oklahoma
Alum Creek,WV,West Virginia
Alum Rock,CA,California
Alva,FL,Florida
Alva,OK,Oklahoma
Alvan,IL,Illinois
Alvarado,MN,Minnesota
Alvarado,TX,Texas
Alvin,TX,Texas
Alvo,NE,Nebraska
Alvord,IA,Iowa
Alvord,TX,Texas
Alvordton,OH,Ohio
Alzada,MT,Montana
Ama,LA,Louisiana
Amada Acres,TX,Texas
Amado,AZ,Arizona
Amador City,CA,California
Amagansett,NY,New York
Amagon,AR,Arkansas
Amalga,UT,Utah
